Test Name,statistic,P-Value,Result(Alpha=0.05),Description
overall_chapter,570072.3305872576,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter1,26789.108420923632,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter2,11019.766349763893,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter3,14144.621624771706,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter4,101539.61877693713,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter5,62211.90446314135,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter6,32887.807794062996,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter7,14303.288137992738,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter8,4975.3388732741605,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter9,103018.38443072775,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter10,64104.02301060682,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter11,86956.69029959821,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter12,16386.255326822753,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter13,93660.01139542097,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter14,50545.269241266295,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter15,47893.12239465778,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter16,61.468926553672325,1.1819692862849008e-06,Reject H0,the difference in the distribution of the observed data is
tab_chapter17,1318.9070389639644,8.317674393333385e-99,Reject H0,the difference in the distribution of the observed data is
tab_chapter18,172442.35441940656,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter19,89434.0031242331,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter20,114790.69802812161,0.0,Reject H0,the difference in the distribution of the observed data is
tab_chapter21,150851.4960859301,0.0,Reject H0,the difference in the distribution of the observed data is
