icd_code,ED,IPD
Z794,9676,36122
Z7901,7068,38347
Z23,3489,10939
Z590,1812,6486
Z21,1777,4684
Z7982,1355,16668
Z7984,1305,2119
Z940,1207,4190
Z992,1082,8977
Z8673,1023,19081
Z86718,902,19160
Z853,843,11694
Z86711,720,9001
Z0389,668,103
Z049,573,3
Z0441,545,42
Z4802,526,39
Z79899,525,4127
Z9884,517,5767
Z951,508,19816
Z760,496,18
Z950,484,9637
Z944,484,2310
Z7902,428,14965
Z85118,415,3328
Z952,400,5256
Z4801,377,142
Z8546,371,8872
Z781,307,7100
Z578,302,6
Z85038,271,4891
Z96649,267,5045
Z09,242,190
Z98890,240,570
Z9282,222,526
Z9181,197,8463
Z7721,182,4
Z043,172,113
Z96659,167,6298
Z331,154,144
Z9861,151,15774
Z4789,148,198
Z85528,136,3100
Z930,129,1272
Z95810,122,4585
Z9483,118,867
Z87442,115,2427
Z9114,113,3441
Z203,106,2
Z202,105,17
Z452,99,102
Z87820,93,1980
Z638,90,317
Z85820,89,3591
Z9119,88,6546
Z85048,85,1513
Z8551,84,2954
Z982,81,973
Z955,70,8861
Z9889,63,5273
Z9641,61,1309
Z0189,60,3
Z8501,60,689
Z041,57,6
Z48817,56,21
Z466,56,53
Z8543,52,1037
Z4689,47,53
Z87891,46,69090
Z206,43,20
Z8679,43,483
Z77098,39,25
Z1889,39,55
Z85850,34,1902
Z431,33,422
Z981,32,3554
Z048,32,6
Z4889,32,77
Z915,31,2001
Z4800,30,9
Z96651,30,1411
Z20828,29,135
Z8509,28,721
Z332,28,62
Z96641,24,1276
Z3201,23,13
Z8542,23,1710
Z85028,21,400
Z1881,20,19
Z9481,20,419
Z96642,20,921
Z8505,19,1377
Z113,19,2
Z96652,17,1164
Z8521,17,464
Z751,16,200
Z9183,16,82
Z630,16,19
Z0489,15,2
Z4659,14,21
Z029,14,0
Z3202,14,2
Z0000,14,5
Z430,14,284
Z993,13,2980
Z8541,13,972
Z941,13,90
Z85819,12,391
Z433,12,324
Z370,12,15246
Z9981,11,5862
Z765,11,224
Z4803,11,18
Z6379,10,189
Z856,10,315
Z720,10,2751
Z4682,10,66
Z22322,10,622
Z7289,10,878
Z201,9,85
Z436,9,153
Z432,8,755
Z1389,8,8
Z30012,8,0
Z89512,8,380
Z91128,8,590
Z1810,8,34
Z189,8,8
Z975,7,117
Z932,7,2077
Z2089,7,31
Z91138,7,276
Z933,7,1868
Z434,7,261
Z8614,7,2008
Z96643,7,812
Z87440,7,3841
Z791,7,890
Z974,6,54
Z1833,6,5
